frame_index,exercise,rep_id,is_form_ok,angles
125,squat,3,True,"{'knee': np.float64(66.75739717010714), 'elbow': np.float64(41.922424277802264)}"
126,squat,3,True,"{'knee': np.float64(62.45698367511113), 'elbow': np.float64(43.02286362593954)}"
127,squat,3,True,"{'knee': np.float64(56.41797350073546), 'elbow': np.float64(44.84546818929535)}"
128,squat,3,True,"{'knee': np.float64(53.399423674070306), 'elbow': np.float64(47.32113844440989)}"
129,squat,3,True,"{'knee': np.float64(50.49382156347832), 'elbow': np.float64(49.36720552167802)}"
130,squat,3,True,"{'knee': np.float64(48.051258254565695), 'elbow': np.float64(53.09894211077541)}"
131,squat,3,True,"{'knee': np.float64(48.79575960830874), 'elbow': np.float64(41.09960117899906)}"
132,squat,3,True,"{'knee': np.float64(49.38317999729662), 'elbow': np.float64(38.5600382943794)}"
133,squat,3,True,"{'knee': np.float64(50.60905204183888), 'elbow': np.float64(52.975056926988174)}"
134,squat,3,True,"{'knee': np.float64(51.14721313091957), 'elbow': np.float64(58.19398270511201)}"
135,squat,3,True,"{'knee': np.float64(52.103317512782155), 'elbow': np.float64(56.32087388234176)}"
136,squat,3,True,"{'knee': np.float64(53.05798090156395), 'elbow': np.float64(56.43945728684935)}"
137,squat,3,True,"{'knee': np.float64(59.89965022957233), 'elbow': np.float64(59.74941848302797)}"
138,squat,3,True,"{'knee': np.float64(64.26613185613536), 'elbow': np.float64(58.28214756408827)}"
139,squat,3,True,"{'knee': np.float64(69.84637082826612), 'elbow': np.float64(61.09151834816005)}"
140,squat,3,True,"{'knee': np.float64(75.79552547771192), 'elbow': np.float64(63.159874665248786)}"
141,squat,3,True,"{'knee': np.float64(82.73234319556536), 'elbow': np.float64(68.7510027280161)}"
142,squat,3,True,"{'knee': np.float64(90.19554797627086), 'elbow': np.float64(74.98946363432967)}"
143,squat,3,True,"{'knee': np.float64(96.04278941520823), 'elbow': np.float64(75.94289160800838)}"
144,squat,3,True,"{'knee': np.float64(102.25335845369693), 'elbow': np.float64(77.95436761473421)}"
